Unnamed: 0,company,sector,horizon (days),amount,date_BUY_fix,date_SELL_fix,price_BUY,price_SELL,Volatility_Buy,Volatility_sell,Sharpe Ratio,expected_return (yearly),inflation,nominal_return,investment,ESG_ranking,PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,roa_ratio,roe_ratio
296400,GOOG,TECH,720,100,2018-06-11,2020-06-01,1129.989990234375,1431.8199462890625,0.2240520717065802,0.3626750830825472,0.2240520717065802,0.3775136191559625,1.68,0.2671085219012284,BAD,22.8,48.32,23.09,6.76,4.79,13.16,4.15,8.1,10.31
320615,GOOG,TECH,50,50000,2016-10-13,2016-12-02,778.1900024414062,750.5,0.2155655296569474,0.2042130761529994,0.2155655296569474,0.0262162235524973,-0.2,-0.0355825728350849,BAD,22.8,28.44,27.33,6.79,3.99,22.29,6.88,12.47,15.08
343869,FB,TECH,10,300,2014-07-21,2014-07-31,69.4000015258789,72.6500015258789,0.4753140056178918,0.3985431986226784,0.4753140056178918,0.0082635267840553,-0.15,0.0468299701519183,GOOD,31.6,73.14,0.92,17.27,9.41,23.67,12.82,13.05,14.91
455524,AMZN,TECH,30,200,2016-07-08,2016-08-08,745.8099975585938,766.5599975585938,0.3466775088593817,0.3306812875707209,0.3466775088593817,0.0270236485172372,-0.2,0.027822099553405,GOOD,27.4,178.01,4.02,2.85,20.51,1.6,1.09,3.12,13.53
59319,AAPL,TECH,30,15000,2015-03-24,2015-04-23,28.965940475463867,29.64728164672852,0.2231310106644766,0.2260056121399432,0.2231310106644766,0.0201996268823387,-0.5,0.0235221491199911,GOOD,16.5,14.06,2.02,3.19,5.08,22.53,1.16,19.56,39.44
249268,MSFT,TECH,420,5000,2018-03-09,2019-05-03,92.96888732910156,126.22711944580078,0.1806535809201361,0.2526878979508618,0.1806535809201361,0.251122510137358,1.68,0.3577350775315622,BAD,14.7,48.99,1.8,6.48,8.56,14.89,3.4,6.3,18.83
447468,FB,TECH,420,50,2015-06-22,2016-08-15,84.73999786376953,123.9000015258789,0.243504559433004,0.3107175875538631,0.243504559433004,0.3470681249303226,-0.5,0.4621194789863475,GOOD,31.6,87.52,0.98,16.11,6.09,18.59,9.01,7.24,8.11
496046,FB,TECH,540,20000,2015-07-27,2017-01-17,94.16999816894533,127.87000274658205,0.2392142187390001,0.2676291817149328,0.2392142187390001,0.4462304463389862,-0.5,0.3578634940310539,GOOD,31.6,87.52,0.98,16.11,6.09,18.59,9.01,7.24,8.11
298866,MSFT,TECH,600,1500,2017-02-07,2018-10-01,59.47018051147461,112.24635314941406,0.2002068251111624,0.2250705904482491,0.2002068251111624,0.3587464430533685,1.96,0.8874392541612756,BAD,14.7,27.58,2.12,4.89,6.57,23.81,2.05,11.1,31.54
67600,GOOG,TECH,150,10000,2016-01-08,2016-06-06,714.469970703125,716.5499877929688,0.2880265245738144,0.2990294176175967,0.2880265245738144,0.0786486706574921,-0.2,0.0029112729367712,GOOD,22.8,33.11,22.92,7.53,4.33,21.1,4.67,11.23,13.86
371747,NVDA,TECH,330,300,2018-08-17,2019-07-12,243.0894927978516,167.045166015625,0.3518933211671282,0.5249299905239864,0.3518933211671282,0.4458319494272493,1.68,-0.3128244084390086,BAD,12.9,35.53,6.85,12.87,16.82,36.22,7.41,37.89,56.73
66456,GOOG,TECH,7,2000,2018-06-25,2018-07-02,1124.81005859375,1127.4599609375,0.2256128051518691,0.2222869877298512,0.2256128051518691,0.0036702712973496,1.68,0.0023558665069753,BAD,22.8,48.32,23.09,6.76,4.79,13.16,4.15,8.1,10.31
18289,AAPL,TECH,720,5000,2015-08-10,2017-07-31,27.611099243164062,35.51362991333008,0.2285940664177264,0.1693984623203857,0.2285940664177264,0.4847910451761298,-0.5,0.2862084772710568,GOOD,16.5,13.3,2.17,3.02,5.23,22.62,1.09,19.74,41.46
468299,GOOG,TECH,15,400,2016-10-07,2016-10-21,775.0800170898438,799.3699951171875,0.2151033378521276,0.213763609666294,0.2151033378521276,0.0078648670657492,-0.2,0.0313386714813577,GOOD,22.8,28.44,27.33,6.79,3.99,22.29,6.88,12.47,15.08
280606,NVDA,TECH,80,1500,2016-03-16,2016-06-03,32.50458526611328,45.76243209838867,0.3656943089511982,0.3745926960956097,0.3656943089511982,0.108080472588424,-0.2,0.4078762034258895,GOOD,12.9,26.56,1.08,3.23,3.46,12.26,2.58,8.52,13.9
216511,GOOG,TECH,540,20000,2015-11-24,2017-05-17,748.280029296875,919.6199951171876,0.2877123595215645,0.1540611895983508,0.2877123595215645,0.2831352143669718,-0.5,0.228978402619288,GOOD,22.8,26.74,22.75,6.3,3.6,21.59,4.77,11.36,14.08
102112,GOOG,TECH,50,50,2018-08-09,2018-09-28,1249.0999755859375,1193.469970703125,0.2265893194411246,0.2295541032403962,0.2265893194411246,0.0262162235524973,1.68,-0.0445360707470329,BAD,22.8,48.32,23.09,6.76,4.79,13.16,4.15,8.1,10.31
279143,GOOG,TECH,720,1500,2015-04-09,2017-03-29,539.2993774414062,831.4099731445312,0.2066531051364999,0.1632745059414452,0.2066531051364999,0.3775136191559625,-0.5,0.5416483087538186,GOOD,22.8,25.92,21.15,6.0,3.45,20.93,5.6,11.14,13.96
330353,NVDA,TECH,30,50000,2016-02-26,2016-03-28,30.997203826904297,34.20347213745117,0.3638660641940018,0.3587788068307682,0.3638660641940018,0.040530177220659,-0.2,0.1034373399759357,GOOD,12.9,26.56,1.08,3.23,3.46,12.26,2.58,8.52,13.9
30673,MSFT,TECH,180,1000,2016-10-27,2017-04-25,55.96995162963867,64.0659408569336,0.2307166733061871,0.1673712114758361,0.2307166733061871,0.1076239329160105,-0.2,0.1446488515992878,GOOD,14.7,25.88,2.08,4.64,5.95,22.98,2.69,11.1,28.99
226498,AAPL,TECH,2,3000,2015-05-07,2015-05-08,28.75861930847168,29.30045890808105,0.215896080194576,0.2163852892638312,0.215896080194576,0.0013466417921559,-0.5,0.0188409462150278,GOOD,16.5,14.06,2.02,3.19,5.08,22.53,1.16,19.56,39.44
301829,AMZN,TECH,60,1500,2017-11-27,2018-01-26,1195.8299560546875,1402.050048828125,0.2059716927212198,0.2071925469103571,0.2059716927212198,0.0540472970344745,1.96,0.1724493451007065,BAD,27.4,244.0,3.94,2.92,18.79,1.2,1.03,2.1,8.67
16622,MSFT,TECH,330,50000,2016-03-16,2017-02-09,49.95219421386719,60.060848236083984,0.2809051032498389,0.2003063576912033,0.2809051032498389,0.1973105436793527,-0.2,0.2023665663001154,GOOD,14.7,40.42,1.26,4.74,5.36,12.06,2.9,5.91,13.56
